cluster,participant_id,secs,length,current_score,previous_score,current_result,robot_feedback,action,engagement,duration,id
0,Q4ABT87L,1647965066,5,2,1,1,0,1,    0.7696,   10.2071,5
0,Q4ABT87L,1647965100,5,2,2,1,0,4,    0.6926,    9.4884,6
0,Q4ABT87L,1647965151,7,3,2,1,2,2,    0.8504,   15.6510,7
0,Q4ABT87L,1647965192,7,-3,3,-1,0,3,    0.7111,   12.2419,8
0,Q4ABT87L,1647965243,7,3,-3,1,1,-1,    0.5062,   14.5704,9
0,J0YH72SI,1647952148,5,2,0,1,0,1,    1.0000,   14.8845,0
0,J0YH72SI,1647952180,5,2,2,1,0,3,    0.5573,    8.3804,1
0,J0YH72SI,1647952227,7,3,2,1,1,2,    0.7120,   12.0438,2
0,J0YH72SI,1647952268,7,3,3,1,0,4,    0.7216,   13.5154,3
0,J0YH72SI,1647952300,3,1,3,1,2,0,    0.7465,    8.2364,4
0,J0YH72SI,1647952326,3,1,1,1,0,0,    0.5371,    7.7718,5
0,J0YH72SI,1647952350,3,-1,1,-1,0,4,    0.5996,    5.5126,6
0,J0YH72SI,1647952390,5,2,-1,1,2,1,    0.4586,    8.0694,7
0,J0YH72SI,1647952423,5,2,2,1,0,3,    0.6083,    9.7562,8
0,J0YH72SI,1647952472,7,-3,2,-1,1,-1,    0.7388,   13.9966,9
0,M4OE3RP5,1648042805,5,2,0,1,0,1,   -0.8625,   15.2877,0
0,M4OE3RP5,1648042844,5,2,2,1,0,3,    0.0257,   15.7514,1
0,M4OE3RP5,1648042878,3,1,2,1,1,0,    0.5323,   10.2391,2
0,M4OE3RP5,1648042905,3,1,1,1,0,3,    0.7441,    7.3466,3
0,M4OE3RP5,1648042935,3,1,1,1,1,2,    0.8012,    6.7527,4
0,M4OE3RP5,1648042978,7,3,1,1,0,2,    0.8770,   14.3344,5
0,M4OE3RP5,1648043022,7,3,3,1,0,4,    0.7551,   13.4479,6
0,M4OE3RP5,1648043066,5,2,3,1,2,1,    0.8741,   14.6649,7
0,M4OE3RP5,1648043102,5,2,2,1,0,4,    0.8280,   12.5500,8
0,M4OE3RP5,1648043149,7,3,2,1,2,-1,    0.6969,   12.7342,9
1,1MBU59SJ,1648025729,7,3,0,1,0,2,    0.1935,   36.1801,0
1,1MBU59SJ,1648025765,7,-3,3,-1,0,3,   -0.7818,    7.3141,1
1,1MBU59SJ,1648025821,7,-3,-3,-1,1,0,   -0.7378,   19.8564,2
1,1MBU59SJ,1648025852,3,1,-3,1,0,0,   -0.3533,   12.4342,3
1,1MBU59SJ,1648025880,3,-1,1,-1,0,4,   -0.2156,   10.2939,4
1,1MBU59SJ,1648025926,5,2,-1,1,2,1,   -0.4811,   15.8470,5
1,1MBU59SJ,1648025967,5,2,2,1,0,3,   -0.6361,   16.6322,6
1,1MBU59SJ,1648026009,5,2,2,1,1,1,   -0.7957,   12.9110,7
1,1MBU59SJ,1648026044,5,2,2,1,0,4,   -0.4920,   11.2202,8
1,1MBU59SJ,1648026076,3,1,2,1,2,-1,   -0.8385,    7.6563,9
0,03DEQR1O,1647936537,5,2,0,1,0,2,    1.0000,   16.7286,0
0,03DEQR1O,1647936582,7,3,2,1,0,2,    0.7879,   16.9973,1
0,03DEQR1O,1647936627,7,-3,3,-1,0,3,    0.8388,   16.3246,2
0,03DEQR1O,1647936673,7,3,-3,1,1,2,    0.0711,    9.9404,3
0,03DEQR1O,1647936712,7,3,3,1,0,4,   -0.1381,   10.0032,4
0,03DEQR1O,1647936741,3,1,3,1,2,0,    0.7937,    5.7234,5
0,03DEQR1O,1647936768,3,1,1,1,0,4,    0.4181,    8.7969,6
0,03DEQR1O,1647936797,3,1,1,1,2,0,    0.8120,    6.1170,7
0,03DEQR1O,1647936820,3,1,1,1,0,3,    0.3606,    5.6549,8
0,03DEQR1O,1647936854,5,-2,1,-1,1,-1,   -0.0043,    4.6020,9
0,U3L9LFS0,1648044244,5,2,0,1,0,1,    1.0000,   17.2820,0
0,U3L9LFS0,1648044280,5,2,2,1,0,3,    0.6667,   11.7394,1
0,U3L9LFS0,1648044311,3,1,2,1,1,2,   -1.0000,    7.4951,2
0,U3L9LFS0,1648044351,7,-3,1,-1,0,2,    0.7737,    8.8597,3
0,U3L9LFS0,1648044398,7,-3,-3,-1,0,3,    0.1623,   17.8647,4
0,U3L9LFS0,1648044430,3,1,-3,1,1,0,   -0.8445,    6.4484,5
0,U3L9LFS0,1648044455,3,1,1,1,0,4,   -0.6291,    6.5563,6
0,U3L9LFS0,1648044495,5,2,1,1,2,1,    0.6922,   10.5653,7
0,U3L9LFS0,1648044528,5,2,2,1,0,4,    0.7173,    9.0082,8
0,U3L9LFS0,1648044581,7,3,2,1,2,-1,    0.2623,   19.3782,9
0,A9XL9U1N,1648023131,5,2,0,1,0,1,    1.0000,   19.3386,0
0,A9XL9U1N,1648023172,5,2,2,1,0,3,    0.9505,   17.1757,1
0,A9XL9U1N,1648023214,7,-3,2,-1,1,1,    0.9907,    7.9905,2
0,A9XL9U1N,1648023255,5,2,-3,1,0,1,    0.9972,   16.6817,3
0,A9XL9U1N,1648023295,5,2,2,1,0,3,    1.0000,   16.7115,4
0,A9XL9U1N,1648023327,3,1,2,1,1,0,    1.0000,    8.4021,5
0,A9XL9U1N,1648023353,3,1,1,1,0,4,    0.8540,    7.3870,6
0,A9XL9U1N,1648023383,3,1,1,1,2,0,    0.7121,    6.7556,7
0,A9XL9U1N,1648023407,3,1,1,1,0,4,    0.9865,    6.2850,8
0,A9XL9U1N,1648023456,7,3,1,1,2,-1,    0.9554,   14.1159,9
1,76HKXYD3,1648052355,5,2,0,1,0,2,    0.8394,    8.4114,0
1,76HKXYD3,1648052390,7,-3,2,-1,0,2,   -0.8733,    6.2833,1
1,76HKXYD3,1648052431,7,-3,-3,-1,0,4,   -0.1876,   12.0749,2
1,76HKXYD3,1648052466,3,1,-3,1,2,0,    0.2999,   10.5349,3
1,76HKXYD3,1648052494,3,1,1,1,0,3,   -1.0000,    9.3342,4
1,76HKXYD3,1648052525,3,1,1,1,1,0,   -1.0000,    7.4914,5
1,76HKXYD3,1648052550,3,1,1,1,0,4,   -0.5999,    6.7378,6
1,76HKXYD3,1648052589,5,2,1,1,2,1,   -0.1944,    9.8111,7
1,76HKXYD3,1648052625,5,2,2,1,0,3,    0.9093,   12.0676,8
1,76HKXYD3,1648052677,7,3,2,1,1,-1,   -0.7143,   18.0246,9
1,COT085MQ,1648050505,5,2,0,1,0,1,   -0.9487,   16.3256,0
1,COT085MQ,1648050543,5,2,2,1,0,4,   -0.8897,   13.7490,1
1,COT085MQ,1648050581,3,1,2,1,2,0,    0.4486,   14.6082,2
1,COT085MQ,1648050610,3,1,1,1,0,3,   -0.9346,   10.5131,3
1,COT085MQ,1648050666,7,-3,1,-1,1,1,   -0.7780,   21.1117,4
1,COT085MQ,1648050704,5,2,-3,1,0,1,   -0.9259,   12.8357,5
1,COT085MQ,1648050741,5,2,2,1,0,3,   -0.4972,   14.1742,6
1,COT085MQ,1648050774,3,1,2,1,1,0,   -0.5108,    8.5487,7
1,COT085MQ,1648050802,3,1,1,1,0,4,   -0.8198,    9.6672,8
1,COT085MQ,1648050844,7,-3,1,-1,2,-1,   -0.9581,    8.1537,9
1,25NQFBB2,1647939079,7,3,0,1,0,1,   -0.7924,   19.7246,0
1,25NQFBB2,1647939117,5,2,3,1,0,1,    0.2185,   11.1885,1
1,25NQFBB2,1647939150,5,2,2,1,0,3,    0.7018,   10.5540,2
1,25NQFBB2,1647939184,3,1,2,1,1,0,   -0.2588,    8.9119,3
1,25NQFBB2,1647939208,3,1,1,1,0,4,   -0.5804,    7.3590,4
1,25NQFBB2,1647939263,7,3,1,1,2,2,   -0.7521,   20.2341,5
1,25NQFBB2,1647939307,7,-3,3,-1,0,4,   -0.8993,   14.5595,6
1,25NQFBB2,1647939346,5,-2,-3,-1,2,1,   -0.8317,    9.0587,7
1,25NQFBB2,1647939379,5,2,-2,1,0,3,   -0.9417,   10.2775,8
1,25NQFBB2,1647939410,3,1,2,1,1,-1,   -0.8210,    7.0697,9
1,F41CCF9W,1648037560,3,1,0,1,0,0,   -0.8980,    7.3435,0
1,F41CCF9W,1648037587,3,1,1,1,0,3,   -0.6423,    8.7237,1
1,F41CCF9W,1648037629,5,2,1,1,1,1,   -0.5083,   12.1565,2
1,F41CCF9W,1648037661,5,2,2,1,0,4,   -0.9573,    8.8422,3
1,F41CCF9W,1648037691,3,1,2,1,2,0,   -0.4525,    6.5711,4
1,F41CCF9W,1648037715,3,1,1,1,0,3,   -0.8791,    5.6413,5
1,F41CCF9W,1648037753,5,2,1,1,1,1,   -0.2829,    8.3806,6
1,F41CCF9W,1648037786,5,2,2,1,0,4,   -0.8429,    8.6756,7
1,F41CCF9W,1648037836,7,-3,2,-1,2,2,   -0.6102,   15.6007,8
1,F41CCF9W,1648037879,7,3,-3,1,0,-1,   -0.9129,   13.5436,9
0,Z7U8NLC9,1648041137,5,2,0,1,0,1,    1.0000,   16.2390,0
0,Z7U8NLC9,1648041180,5,2,2,1,0,4,    0.8821,   18.8587,1
0,Z7U8NLC9,1648041221,5,2,2,1,2,1,    0.9266,   11.5057,2
0,Z7U8NLC9,1648041261,5,2,2,1,0,3,    1.0000,   16.1997,3
0,Z7U8NLC9,1648041311,7,3,2,1,1,2,    0.9892,   14.6402,4
0,Z7U8NLC9,1648041363,7,3,3,1,0,4,    0.9831,   22.3476,5
0,Z7U8NLC9,1648041395,3,1,3,1,2,0,    0.9988,    8.8909,6
0,Z7U8NLC9,1648041421,3,1,1,1,0,0,    0.8426,    7.3072,7
0,Z7U8NLC9,1648041446,3,1,1,1,0,3,    0.8572,    7.4598,8
0,Z7U8NLC9,1648041500,7,3,1,1,1,-1,    0.9998,   17.2150,9
0,Q4GTE6L4,1647949014,5,2,0,1,0,1,    1.0000,   13.9998,0
0,Q4GTE6L4,1647949047,5,2,2,1,0,4,    0.4402,   10.1250,1
0,Q4GTE6L4,1647949078,3,1,2,1,2,2,    0.6161,    7.1711,2
0,Q4GTE6L4,1647949126,7,3,1,1,0,2,    0.4417,   14.9878,3
0,Q4GTE6L4,1647949171,7,-3,3,-1,0,3,    0.7935,   15.7375,4
0,Q4GTE6L4,1647949218,7,-3,-3,-1,1,2,    0.7333,   10.2985,5
0,Q4GTE6L4,1647949250,7,-3,-3,-1,0,4,    0.2225,    3.5480,6
0,Q4GTE6L4,1647949290,5,-2,-3,-1,2,1,    0.8719,    9.1459,7
0,Q4GTE6L4,1647949322,5,-2,-2,-1,0,3,    0.3066,    7.7234,8
0,Q4GTE6L4,1647949356,3,1,-2,1,1,-1,    0.8703,    7.0903,9
0,6XTLNK55,1647958991,3,1,0,1,0,0,    1.0000,   18.7274,0
0,6XTLNK55,1647959023,3,1,1,1,0,3,    0.7583,   13.8380,1
0,6XTLNK55,1647959068,5,2,1,1,1,2,    0.7215,   15.7416,2
0,6XTLNK55,1647959123,7,-3,2,-1,0,2,    0.3733,   26.5582,3
0,6XTLNK55,1647959195,7,-3,-3,-1,0,4,   -0.1537,   39.2162,4
0,6XTLNK55,1647959228,3,1,-3,1,2,0,    0.3709,    7.3588,5
0,6XTLNK55,1647959253,3,1,1,1,0,3,    0.2737,    7.3626,6
0,6XTLNK55,1647959295,5,2,1,1,1,1,   -0.1938,   12.1769,7
0,6XTLNK55,1647959334,5,2,2,1,0,4,    0.3765,   16.4705,8
0,6XTLNK55,1647959389,7,-3,2,-1,2,-1,   -0.3603,   19.6140,9
1,1PE38CJI,1647955309,3,1,0,1,0,0,    1.0000,   13.4456,0
1,1PE38CJI,1647955340,3,1,1,1,0,4,   -0.4360,   12.7327,1
1,1PE38CJI,1647955370,3,1,1,1,2,0,   -0.6790,    6.7474,2
1,1PE38CJI,1647955401,3,1,1,1,0,3,   -0.5271,    8.0885,3
1,1PE38CJI,1647955454,7,3,1,1,1,2,   -0.7343,   19.2274,4
1,1PE38CJI,1647955491,7,-3,3,-1,0,2,   -0.7966,    8.5898,5
1,1PE38CJI,1647955532,7,-3,-3,-1,0,4,   -0.6516,   11.3520,6
1,1PE38CJI,1647955578,5,2,-3,1,2,1,   -0.4588,   13.0154,7
1,1PE38CJI,1647955612,5,2,2,1,0,3,   -0.7897,    9.0707,8
1,1PE38CJI,1647955650,5,2,2,1,1,-1,   -0.7537,    8.8822,9
